기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.1/4	합계	합계	4,237,610	10,112,070	4,948,481	5,163,589	9,838,892	4,817,507	5,021,385	273,178	130,974	142,204	2.32	1,382,420
2018.1/4	종로구	소계	73,879	164,348	79,962	84,386	154,549	75,749	78,800	9,799	4,213	5,586	2.09	26,429
2018.1/4	종로구	사직동	4,459	9,768	4,444	5,324	9,500	4,302	5,198	268	142	126	2.13	1,727
2018.1/4	종로구	삼청동	1,401	3,076	1,459	1,617	2,856	1,347	1,509	220	112	108	2.04	632
2018.1/4	종로구	부암동	4,312	10,665	5,131	5,534	10,258	4,949	5,309	407	182	225	2.38	1,748
2018.1/4	종로구	평창동	7,590	19,152	9,027	10,125	18,992	8,953	10,039	160	74	86	2.5	3,078
2018.1/4	종로구	무악동	3,019	8,317	3,895	4,422	8,267	3,873	4,394	50	22	28	2.74	1,261
2018.1/4	종로구	교남동	4,519	10,677	5,014	5,663	10,524	4,933	5,591	153	81	72	2.33	1,438
2018.1/4	종로구	가회동	2,077	4,624	2,164	2,460	4,498	2,097	2,401	126	67	59	2.17	905
2018.1/4	종로구	종로1.2.3.4가동	5,375	8,575	5,002	3,573	7,582	4,483	3,099	993	519	474	1.41	1,878
2018.1/4	종로구	종로5·6가동	3,204	5,715	3,107	2,608	5,380	2,959	2,421	335	148	187	1.68	1,095
2018.1/4	종로구	이화동	4,503	8,743	4,074	4,669	8,243	3,889	4,354	500	185	315	1.83	1,312
2018.1/4	종로구	창신1동	3,043	6,320	3,412	2,908	5,497	2,975	2,522	823	437	386	1.81	1,144
2018.1/4	종로구	창신2동	4,270	10,278	5,195	5,083	9,110	4,642	4,468	1,168	553	615	2.13	1,664
2018.1/4	종로구	창신3동	2,879	7,497	3,698	3,799	7,321	3,608	3,713	176	90	86	2.54	1,106
