기간	지역	발생건수	자동차 1만대당 발생건수	사망자수	인구 10만명당 사망자수	부상자수	인구 10만명당 부상자수
2018	합계	38,795	108.6	304	3	53,751	534.9
2018	종로구	1,134	177.5	6	3.7	1,546	948.3
2018	중구	1,128	169.8	9	6.6	1,506	1,110.3
2018	용산구	1,330	142.2	14	5.7	1,852	755.6
2018	성동구	1,143	90.2	9	2.8	1,561	493.3
2018	광진구	1,108	93.2	10	2.7	1,474	397.2
2018	동대문구	1,699	139.2	14	3.8	2,160	592.9
2018	중랑구	1,565	113.2	10	2.5	2,135	523.1
2018	성북구	1,427	99.9	14	3.1	1,980	442.3
2018	강북구	1,216	122.6	13	4	1,633	505.7
2018	도봉구	824	73.5	6	1.8	1,061	310.6
2018	노원구	1,569	93.1	14	2.6	2,227	406.3
2018	은평구	1,134	75.3	12	2.5	1,580	324
2018	서대문구	1,033	101.6	5	1.5	1,403	434.3
2018	마포구	1,671	123.7	11	2.8	2,429	628.7
2018	양천구	1,428	84.4	11	2.3	1,939	414.2
2018	강서구	1,502	67.4	11	1.8	2,208	365.8
2018	구로구	1,532	95.6	13	3	2,129	485.5
2018	금천구	932	94.5	6	2.4	1,326	522
2018	영등포구	2,493	155.5	22	5.5	3,532	875.1
2018	동작구	1,412	117.2	9	2.2	1,892	462.2
2018	관악구	1,300	89.1	8	1.5	1,717	330.2
2018	서초구	2,478	126.9	18	4.1	3,640	830.7
2018	강남구	3,459	137.2	20	3.7	4,967	907.3
2018	송파구	2,860	111.9	27	4	3,932	583.8
2018	강동구	1,418	93.5	12	2.8	1,922	445
